problem_id,domain,target_user,problem_statement,real_workflow,current_workaround,pain_type,frequency_estimate,failure_consequence,natural_inputs,desired_output_or_action,why_existing_workflow_is_insufficient,source_strength,source_refs,vietnam_relevance,notes
P021,inclusive education,disabled secondary students,Access mainstream school environment,move learn communicate,peer family dependence,participation barrier,daily,absence from school,documents audio layouts,accommodation plan,physical communication barriers,H,V09,direct,SOURCE-EVIDENCED
P022,employment,disabled job seekers,Find accessible suitable work,read role communicate needs,informal networks,discrimination,per search,self-exclusion,job text needs photos,fit and accommodation facts,access information lacking,H,V08,direct,SOURCE-EVIDENCED
P023,work safety,young workers,Recognize and report task hazards,briefing work incident report,generic briefing,injury risk,daily,injury,images task narrative,hazard prevention guidance,young injury rate higher,H,V12,direct,SOURCE-EVIDENCED
P024,work safety,local officials,Consolidate occupational injuries,merge reports and classify,fragmented records,data fragmentation,monthly yearly,weak prevention,notes forms job data,standard record trend,records nonconsolidated,H,V12,direct,SOURCE-EVIDENCED
P025,work health,informal workers clinicians,Connect work exposure to follow-up,elicit job history and refer,symptom-only treatment,missed referral,per visit,untreated risk,narrative task history,review flag not diagnosis,surveillance gaps,H,V10,direct,SOURCE-EVIDENCED
P026,work safety,craft-village managers,Document hazards and incidents,inspect record patterns,underreporting,data blindness,continuous,repeated harm,photos narratives tasks,comparable report,informal records weak,H,V12,direct,SOURCE-EVIDENCED
P027,livelihood,informal women workers,Find viable work around care constraints,match skills time jobs,precarious own-account work,income insecurity,weekly,low earnings,skills schedules jobs,realistic pathway,care and protection constraints,H,V11,direct,SOURCE-EVIDENCED
P028,waste,households managers,Separate mixed waste,identify item and collection rule,mixed disposal,sorting error,daily,poor recovery,item photos labels rules,correct sorting instruction,source separation rare,M,V14,direct,SOURCE-EVIDENCED
P029,waste,informal collectors,Plan safe efficient collection,collect transport load,improvised vehicle route,safety income,daily,traffic exposure,route load records,safer collection plan,unsafe makeshift work,M,V13,direct,SOURCE-EVIDENCED
P030,waste,scrap collectors,Grade recyclable materials,inspect sort price,manual knowledge,classification inconsistency,daily,poor value,surface photos weights,grade record,mixed material workflow,M,V13;V14,direct,MIXED detailed task inference
P031,e-waste,informal recyclers,Handle devices safely,dismantle and dispose,unsafeguarded process,toxic exposure,daily,health contamination,device type process log,hazard handling flag,informal contaminants documented,M,V15,direct,SOURCE-EVIDENCED
P032,fisheries,crab fishers buyers,Check catch compliance,inspect size sex season,market purchase,stock depletion,per landing,income decline,photo measurement date,compliant record,weak compliance,M,V16,direct,SOURCE-EVIDENCED
P033,fisheries,fishers processors,Prove seafood origin,link landing batches handoffs,fragmented handoffs,traceability gap,per batch,market risk,logs batch photos,traceability trail,domestic traceability absent,M,V16,direct,SOURCE-EVIDENCED
P034,fisheries,managers fishers,Enforce fishery rules,inspect catch gear time place,manual inspection,enforcement burden,per landing,stock loss,images logs location,violation flag for review,manual checks limited,M,V16,direct,SOURCE-EVIDENCED
P035,tourism,disabled travellers,Plan accessible visits,check venue transport heritage,calls and posts,access uncertainty,per trip,foregone travel,photos reviews maps,verified profile,information and infrastructure gaps,M,V17,direct,SOURCE-EVIDENCED
P036,tourism,frontline staff,Serve disabled visitors,read booking and site conditions,improvisation,service gap,per booking,poor experience,requests site details,accommodation checklist,training shortage,M,V17,direct,SOURCE-EVIDENCED
P037,disaster,isolated residents,Reach evacuation support,match warnings to needs,neighbors ad hoc rescue,urgent inclusion,storm events,unreached people,location needs road status,reachable-person priority list,communications fail,H,V05,direct,SOURCE-EVIDENCED
P038,disaster,community teams,Relocate people and belongings early,match water assets resources,late response,asset loss,storm events,property loss,weather water assets,prestorm resource plan,reactive evacuation,M,V18,direct,SOURCE-EVIDENCED
P039,disaster,rural residents,Interpret warning as action,read forecast map and decide,informal interpretation,comprehension burden,storm events,delayed evacuation,warning maps landmarks,plain local instruction,technical warnings difficult,M,V18,direct,MIXED detailed workflow inference
P040,agri administration,farmers offices,Maintain connected farm data,compile field forms records,paper fragmented records,interoperability,continuous,poor planning,forms maps readings,linked farm record,standardization needed,H,V19,direct,SOURCE-EVIDENCED
P041,health admin,facility staff,Re-enter patient program data,enter same data across tools,duplicate entry,admin burden,daily,delayed care reporting,forms records,one consistent record,systems disconnected,H,O01,transferable,SOURCE-EVIDENCED
P042,health admin,frontline workers,Aggregate recurring reports,compile facility forms,manual reports,reporting delay,weekly monthly,late management action,facility forms,ready report,form completion burden,H,O02,transferable,SOURCE-EVIDENCED
P043,health admin,health workers,Record patient data consistently,collect individual information,partial records,data quality,per visit,unreliable records,forms computers,complete record,time tools training limited,H,O03,transferable,SOURCE-EVIDENCED
P044,health admin,facility managers,Trust routine data,check submitted reports,ad hoc review,quality uncertainty,monthly,bad decisions,routine data,DQA action,routine DQA absent,H,O03,transferable,SOURCE-EVIDENCED
P045,health admin,health services,Avoid fragmented digital tools,adopt vertical applications,separate tools,workflow fragmentation,continuous,administrative burden,tool outputs,integrated workflow,supply-driven digitization,H,O05,transferable,SOURCE-EVIDENCED
P046,maintenance,technicians,Find visible deterioration,walk down equipment,periodic visual inspection,missed defect,daily,failures cost,visual observations,defect finding,human walkdowns needed,M,O06,transferable,SOURCE-EVIDENCED
P047,maintenance,maintenance teams,Turn finding into repair,inspect then create order,delayed work order,finding-action gap,per inspection,emergency repair,inspection notes,corrective work order,handoff delay,M,O07,transferable,SOURCE-EVIDENCED
P048,maintenance,technicians,See conditions sensors miss,inspect mounts covers couplings,sensor-only monitoring,coverage gap,continuous,unseen defect,photos observations,visible condition finding,sensors measure limited parameters,M,O08,transferable,SOURCE-EVIDENCED
P049,maintenance,reliability teams,Separate observations from tasks,record inspection and repair together,mixed work order,analysis ambiguity,per task,weak reliability analysis,notes tasks,distinct finding record,workflow conflates evidence action,M,O09,transferable,SOURCE-EVIDENCED
P050,manufacturing,quality inspectors,Inspect product stages,inspect materials WIP finished goods,manual inspection,inspection workload,per unit,bad quality escape,product images,inspection result,multistage human workflow,M,O10,transferable,SOURCE-EVIDENCED
P051,manufacturing,quality inspectors,Apply consistent defect judgment,visually assess defects,experience-led judgment,inconsistency,per unit,false pass reject,visual samples,consistent assessment,depends on experience,M,O11,transferable,SOURCE-EVIDENCED
P052,manufacturing,quality teams,Avoid fatigue-based misses,inspect repetitive products,manual visual check,fatigue distraction,continuous,defect escape,images video,review priority,human perception variable,M,O12,transferable,SOURCE-EVIDENCED
P053,manufacturing,quality teams,Compile inspection evidence,collect photos actions reports,manual reporting,admin load,per inspection,slow correction,photos tasks,complete report,repetitive evidence work,M,O13,transferable,SOURCE-EVIDENCED
P054,logistics,ocean carriers,Coordinate small trucking contracts,arrange many hauliers,manual coordination,fragmentation,per shipment,cost delay,contracts schedules,transport plan,sector fragmented,H,O14,direct,SOURCE-EVIDENCED
P055,logistics,operators,Monitor external transport,arrange partner moves,calls spreadsheets,visibility gap,daily,late delivery,partner status,monitored shipment,outsourced network,H,O15,direct,SOURCE-EVIDENCED
P056,trade documents,freight firms,Complete customs procedures,prepare submit documents,manual forms,compliance friction,per shipment,clearance delay,documents regulations,correct submission,cumbersome inconsistent rules,H,O16,direct,SOURCE-EVIDENCED
P057,urban logistics,couriers receivers,Coordinate curbside delivery,find load unload space,ad hoc coordination,last-mile friction,daily,delay conflict,location timing,delivery handoff,limited infrastructure,H,O17,transferable,SOURCE-EVIDENCED
P058,trucking,urban operators,Plan restricted truck trip,navigate congestion time rules,manual local knowledge,dynamic constraints,daily,delay cost,maps times rules,feasible trip plan,entry restrictions,H,O18,direct,SOURCE-EVIDENCED
P059,port logistics,port staff,Pass paper clearance documents,queue stamps checks,paper handoff,delay,per shipment,clearance delay,documents bookings,completed clearance,paper queues,H,O19,transferable,SOURCE-EVIDENCED
P060,logistics,small trucking firms,Recover from disruption,reroute support shipments,limited backup,resilience gap,events,lost service,status capacity,contingency action,lack technology resources,H,O20,transferable,SOURCE-EVIDENCED
P061,ecommerce logistics,couriers retailers,Deliver fragmented drops,repeated last-mile dispatch,ad hoc planning,cost reliability,daily,failed delivery,orders routes,delivered order,fragmented last mile,H,O21,transferable,SOURCE-EVIDENCED
P062,port logistics,stakeholders,Exchange cross-agency data,reenter information across parties,paper exchanges,duplicate work,per shipment,delay errors,customs port shipment data,shared record,many organizations,H,O22,transferable,SOURCE-EVIDENCED
P063,industrial energy,firms,Make efficiency case,interpret consumption data,ad hoc estimates,information barrier,monthly,missed savings,meter data costs,actionable business case,consumption unclear,H,O23,transferable,SOURCE-EVIDENCED
P064,SME energy,small firms,Manage energy use,review consumption choose measures,no capacity,resource constraint,monthly,higher costs,bills meters,management action,skills resources lacking,H,O24,transferable,SOURCE-EVIDENCED
P065,industrial energy,factories,Continuously manage energy,monitor operational use,ad hoc projects,optimization gap,continuous,wasted energy,energy streams,ongoing decision,ad hoc practice,H,O25,transferable,SOURCE-EVIDENCED
P066,building energy,building managers,Stop unoccupied consumption,operate HVAC servers,schedule defaults,waste,continuous,cost emissions,occupancy equipment use,reduce unnecessary load,baseline loads persist,H,O26,transferable,SOURCE-EVIDENCED
P067,asset energy,building managers,Interpret performance data,inspect operational streams,limited visibility,maintenance uncertainty,continuous,missed savings,performance data,maintenance savings signal,data questions hard,H,O27,transferable,SOURCE-EVIDENCED
P068,waste,waste pickers,Sort transport recyclables,collect separate sell material,manual sorting,unsafe informal work,daily,low value risk,material observations,sorted handoff,informal operations,H,O28,transferable,SOURCE-EVIDENCED
P069,waste,informal workers,Gain recognition and protection,participate in planning,exclusion,precarity,continuous,unsafe livelihood,work reports,recognized support,limited inclusion,H,O29,transferable,SOURCE-EVIDENCED
P070,e-waste,informal recyclers,Recover materials safely,dismantle devices,poor waste management,toxic exposure,daily,health harm,device waste stream,safe escalation,hazardous materials,H,O30,transferable,SOURCE-EVIDENCED
P071,food operations,retailers municipalities,Measure food waste,combine purchasing inventory sales receipts,fragmented records,measurement gap,weekly,unknown waste drivers,records receipts,waste measure,records dispersed,H,O31,transferable,SOURCE-EVIDENCED
P072,municipal waste,cities,Manage collection sorting workforce,coordinate service activities,fragmented operations,service complexity,daily,poor recovery,collection sorting data,operational view,large workforce,H,O32,transferable,SOURCE-EVIDENCED
P073,caregiving,families,Coordinate long-term services,navigate health social housing referrals,repeat navigation,coordination burden,weekly,carer overload,assessments needs,coordinated next action,systems separate,H,O33,transferable,SOURCE-EVIDENCED
P074,caregiving,family carers,Repeat assessments,provide same information across services,repeat forms,administrative burden,per service,delayed support,assessments,portable assessment,inconsistent rules,H,O34,transferable,SOURCE-EVIDENCED
P075,caregiving,unpaid carers,Find respite and support,manage intense care,unmet needs,wellbeing burden,daily,burnout,routine needs,support referral,assessment services lacking,H,O35,transferable,SOURCE-EVIDENCED
P076,caregiving,informal carers,Coordinate care practical support,manage cases training counselling,ad hoc support,care strain,daily,wellbeing harm,care notes,coordinated support,needs unmet,H,O36,transferable,SOURCE-EVIDENCED
P077,medication safety,patients carers,Manage medicines across transitions,track medications in high-risk contexts,memory paper lists,safety risk,per transition,preventable harm,medication lists,review action,polypharmacy transitions,H,O37,transferable,SOURCE-EVIDENCED
P078,cybersecurity,SMB employees,Recognize suspicious messages,inspect link message and escalate,ad hoc judgment,phishing risk,daily,account compromise,messages URLs,escalated suspicion,training need,H,O38,transferable,SOURCE-EVIDENCED
P079,cybersecurity,SMBs,Respond to incidents,activate roles contacts actions,unprepared response,response gap,per incident,greater damage,incident reports,response plan,plan required,H,O39,transferable,SOURCE-EVIDENCED
P080,cybersecurity,SMB staff,Report strange activity early,notice blocked attack behavior,high reporting threshold,late reporting,daily,missed containment,alerts narratives,early report,culture barrier,H,O40,transferable,SOURCE-EVIDENCED
P081,cybersecurity,SMBs,Triage evolving threats,assess suspected phishing ransomware,manual ad hoc triage,threat uncertainty,per alert,security loss,messages system signals,review priority,threats evolve,H,O41,transferable,SOURCE-EVIDENCED
P082,cultural tourism,heritage operators,Serve visitors with access needs,assess site and visitor requirements,limited accommodations,access gap,per visit,visitor exclusion,site data requests,accessible visit plan,guidance need,H,O42,transferable,SOURCE-EVIDENCED
P083,rural tourism,destination managers,Preserve resources while serving visitors,manage infrastructure skills conflicts,ad hoc initiatives,development tension,seasonal,site degradation,site reports visitor data,managed intervention,infrastructure skills gaps,H,O43,transferable,SOURCE-EVIDENCED
P084,education,teachers,Complete planning marking admin,prepare mark report across tools,after-hours work,workload,daily,less teaching time,student work grades,usable instruction record,interconnected tasks,H,H01,transferable,SOURCE-EVIDENCED
P085,school language access,coordinators,Book interpreters,request schedule confirm interpreter,email spreadsheets,coordination,per request,missed communication,language time calendars,confirmed interaction,manual followup,H,H02,transferable,SOURCE-EVIDENCED
P086,inclusive school,teachers,Aid AAC users during class,learn troubleshoot personal system,specialist request,participation,daily,learner exclusion,device state activity attempts,communication support,limited class time,M,H03,transferable,SOURCE-EVIDENCED
P087,school accessibility,students teachers,Use inaccessible course content,publish adapt PDFs images LMS,manual adaptation,content exclusion,daily,coursework barrier,pdfs slides images,accessible material,formats fail assistive tools,H,H04,transferable,SOURCE-EVIDENCED
P088,school services,SLPs,Schedule multi-school services,fit caseload travel compliance,flexible calendars,coordination,weekly,reduced service,caseload schedules notes,feasible schedule,conflicting constraints,H,H05,transferable,SOURCE-EVIDENCED
P089,learning,language-difficulty learners,Follow class instructions and discussion,observe respond refer,repeated explanation,learning barrier,daily,disengagement,tasks responses,understood task,specialist unavailable,M,H06,transferable,SOURCE-EVIDENCED
P090,learning,language-course students,Meet language requirement,practice with support,tutor extra time,course burden,weekly,course failure,speech writing tasks,appropriate practice path,needs many supports,M,H07,transferable,SOURCE-EVIDENCED
P091,education,teachers students,Give timely complex feedback,review projects comment revise,delayed limited feedback,feedback delay,per assignment,missed learning,essays oral projects,useful feedback,complex review burden,H,H08,transferable,SOURCE-EVIDENCED
P092,reading,early readers parents,Receive reading-aloud feedback,listen spot miscues correct,wait for adult,practice gap,daily,persistent errors,audio passage text,feedback event,adult unavailable,H,H08,transferable,SOURCE-EVIDENCED
P093,school communication,multilingual families,Understand and reply to school information,translate messages arrange interpreter,bilingual staff,language barrier,per message,poor engagement,speech forms messages,understood exchange,manual language coordination,M,H02;H09,transferable,SOURCE-EVIDENCED
P094,assistive access,disabled families,Obtain appropriate assistive product,identify afford train use,family support or forgo,access gap,per need,dependence,needs availability,appropriate support,cost supply workforce barriers,H,H10,transferable,SOURCE-EVIDENCED
P095,health access,disabled patients,Complete accessible health visit,plan transport appointment communication,family support,service barrier,per visit,delayed care,instructions access needs,completed visit,transport training communication gaps,H,H11,transferable,SOURCE-EVIDENCED
P096,public access,disabled people,Understand service information,read signs forms announcements,companion help,communication barrier,per service,abandoned service,audio forms signs,accessible information,formats staff interaction barriers,H,H12,transferable,SOURCE-EVIDENCED
P097,daily living,disabled adults,Learn technology for routines,execute task steps with device,caregiver assistance,independence barrier,daily,lower participation,task steps device actions,usable routine,training and rules gaps,M,H13,transferable,SOURCE-EVIDENCED
P098,assistive services,providers families,Match and train support technology,observe routines device use,general devices,poor fit,per assessment,abandonment,observations device use,matched support,workforce service gaps,H,H10,transferable,SOURCE-EVIDENCED
P099,mobility,disabled people,Plan barrier-free trip,inspect route space,trial and error,mobility barrier,per trip,missed participation,place route obstacles,accessible route,architectural transport barriers,H,H11;H12,transferable,SOURCE-EVIDENCED
P100,care communication,caregivers disabled people,Share needs across transitions,retell history instructions,paper notes,miscommunication,per transition,care gap,speech reports records,understood handoff,communication barriers,H,H11,transferable,SOURCE-EVIDENCED
P101,home care,caregivers older adults,Coordinate daily care routine,manage care cleaning supplies,memory checklist,routine burden,daily,missed essentials,routine inventory notes,completed routine,manual recall weak,L-M,H14,transferable,SOURCE-EVIDENCED
P102,home safety,caregivers older adults,Check fall fire hazards,walk through home,manual checklist,safety risk,weekly,falls fire,room photos alarms,hazard action,manual repeated checks,L-M,H14,transferable,SOURCE-EVIDENCED
P103,sports,youth coaches,Review subtle technique,record rewind frame review,coach memory,performance risk,per practice,persistent error,video sport context,technique feedback,live observation limited,M,H15;H16,transferable,SOURCE-EVIDENCED
P104,sports,remote athletes coaches,Receive remote practice review,send recorded drill,delayed text feedback,training access,per practice,uneven coaching,video goals notes,consistent review,expert distance,M,H16,transferable,SOURCE-EVIDENCED
P105,sports,amateur teams,Collect injury illness reports,request self report,retrospective reporting,data gap,per incident,missed pattern,reports dates participation,timely record,resources privacy quality constraints,H,H17,transferable,SOURCE-EVIDENCED
P106,sports,coaches athletes,Manage individual training load,combine sessions recovery,intuition spreadsheet,injury risk,daily,overtraining,load wellness GPS,load decision,resource limitations,M,H17;H18,transferable,SOURCE-EVIDENCED
P107,sports,coaches physios,Hand off sensitive participation status,share messages forms,disconnected messages,safety privacy,per injury,unsafe training,health notes logs,informed status,fragmented handoff,H,H17,transferable,SOURCE-EVIDENCED
P108,sports rehab,recovering athletes,Compare movement to prescription,practice between sessions,subjective self-check,recovery risk,per exercise,incorrect practice,video prescription history,movement comparison,video review evidence,M,H15;H16,transferable,MIXED detailed workflow inference
P109,citizen science,residents emergency staff,Report local flood conditions,submit geotagged observation,social posts,situational gap,event,poor awareness,photo water level text,usable observation,official stations sparse,H,H19;H20,transferable,SOURCE-EVIDENCED
P110,environment,residents agencies,Document hyperlocal pollution,submit sensor photo report,complaint anecdote,evidence gap,events,uncharacterized risk,sensor photo location,actionable report,monitoring gaps,M,H19;H21,transferable,SOURCE-EVIDENCED
P111,water,volunteers authorities,Report dumping spills anomalies,observe many sites,infrequent surveys,mitigation delay,events,environmental harm,photos sensor location,escalated incident,limited professional surveys,M,H19;H22,transferable,SOURCE-EVIDENCED
P112,biodiversity,volunteers ecologists,Collect seasonal species observations,identify and submit observations,limited surveys,data quality,daily seasonal,blind spots,photo audio date location,usable record,variable volunteer skill,M,H19,transferable,SOURCE-EVIDENCED
P113,litter,community NGOs,Classify plastic-litter surveys,aggregate site observations,manual forms,data interoperability,per survey,not policy usable,photos categories counts,QA record,standards gaps,H,H19;H23,transferable,SOURCE-EVIDENCED
P114,citizen science,coordinators,Verify volunteer reports,compare heterogeneous observations,manual review,data trust,continuous,false findings,records calibration metadata,fitness decision,QA standards barriers,H,H19;H23,transferable,SOURCE-EVIDENCED
P115,citizen science,coordinators,Retain environmental volunteers,maintain participation,one-off reminders,longitudinal gap,months,missing coverage,participation history,engagement action,retention difficult,H,H20,transferable,SOURCE-EVIDENCED
P116,environment,community agencies,Turn report into action,validate and route observation,unstructured complaint,non-actionable evidence,per report,slow response,multimodal report threshold,response action,trust actionability gaps,H,H19;H20,transferable,SOURCE-EVIDENCED
P117,media,small teams,Find correct media asset,search scattered drives,manual hunting,retrieval delay,daily,wrong version asset,media metadata brief,correct asset,assets scattered,M,H24;H25,transferable,SOURCE-EVIDENCED
P118,media,producers editors clients,Resolve video feedback,collect time comments,email chat,rework,per revision,delayed approval,video comments stage,approved revision,feedback scattered,H,H24,transferable,SOURCE-EVIDENCED
P119,media,producers editors,Manage production handoff,transfer footage proxy transcript,manual status followup,bottleneck,per production,skilled time lost,media files task status,ready handoff,large file workflow,M,H24,transferable,SOURCE-EVIDENCED
P120,creative teams,team managers,Know ownership and status,assign assets approvals,emails checkins,coordination,daily,rework deadlines,brief versions messages,clear status,roles approvals unclear,M,H25,transferable,SOURCE-EVIDENCED
P121,media access,producers viewers,Create accessible video deliverable,caption transcribe describe,post-hoc manual work,access exclusion,per video,audience loss,audio video transcript,accessible deliverable,access work late,M,H12;H24,transferable,SOURCE-EVIDENCED
P122,household,shoppers cooks,Plan food purchase to meals,check pantry plan buy,memory impulse,food waste,weekly,money spoilage,inventory meal receipts,appropriate purchase,planning storage failures,H,H26;H27,transferable,SOURCE-EVIDENCED
P123,household,cooks,Track leftovers safely,remember item date storage,tape labels memory,safety waste,daily,disposal or unsafe use,leftover date photo,usable reminder,recall unreliable,H,H27,transferable,SOURCE-EVIDENCED
P124,household,caregivers shoppers,Rotate perishables and supplies,inspect dates restock,visual list,waste shortage,daily,spoilage missed supply,labels dates quantity,use-first action,manual checking,M,H27;H14,transferable,SOURCE-EVIDENCED
P125,household,households,See recurring waste causes,record discarded food,occasional memory,behavior blindness,weekly,repeated waste,item reason meal context,waste pattern,drivers documented but unmeasured,M,H26;H27,transferable,MIXED measurement workflow inference
