"prompt_id","timestamp","record_type","capture_status","phase","source","actor","agent","model","provider","harness","git_commit_after","raw_source_ref","notes"
"P000055","2026-08-11T16:03:35Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff190-98ed-75a0-af76-bdb611df52b8.jsonl",""
"P000056","2026-08-11T16:03:37Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff190-98ed-75a0-af76-bdb611df52b8.jsonl",""
"P000057","2026-08-11T16:04:52Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff17c-be67-7423-ad91-037346870eae.jsonl",""
"P000058","2026-08-11T16:04:54Z","PROMPT","blocked_secret","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff17c-be67-7423-ad91-037346870eae.jsonl","Capture blocked because the submitted prompt matched the secret-safety filter; prompt content was not stored."
"P000059","2026-08-11T16:05:10Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff192-0a16-7842-a564-988835693c93.jsonl",""
"P000060","2026-08-11T16:05:12Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff192-0a16-7842-a564-988835693c93.jsonl",""
"P000061","2026-08-12T02:05:00Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff3b3-a169-7971-bbde-8796350ed273.jsonl",""
"P000062","2026-08-12T02:05:04Z","PROMPT","blocked_secret","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff3b3-a169-7971-bbde-8796350ed273.jsonl","Capture blocked because the submitted prompt matched the secret-safety filter; prompt content was not stored."
"P000063","2026-08-12T02:12:06Z","PROMPT","blocked_secret","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff3b3-a169-7971-bbde-8796350ed273.jsonl","Capture blocked because the submitted prompt matched the secret-safety filter; prompt content was not stored."
"P000064","2026-08-12T02:14:25Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff3b3-a169-7971-bbde-8796350ed273.jsonl",""
"P000065","2026-08-12T02:40:38Z","PROMPT","blocked_secret","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff3b3-a169-7971-bbde-8796350ed273.jsonl","Capture blocked because the submitted prompt matched the secret-safety filter; prompt content was not stored."
"P000066","2026-08-12T02:41:41Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff3b3-a169-7971-bbde-8796350ed273.jsonl",""
"P000067","2026-08-12T02:41:44Z","PROMPT","blocked_secret","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff3b3-a169-7971-bbde-8796350ed273.jsonl","Capture blocked because the submitted prompt matched the secret-safety filter; prompt content was not stored."
"P000068","2026-08-12T02:52:48Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff3e2-3683-7861-bdd2-81ffb0f3823b.jsonl",""
"P000069","2026-08-12T02:52:55Z","PROMPT","blocked_secret","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff3e2-3683-7861-bdd2-81ffb0f3823b.jsonl","Capture blocked because the submitted prompt matched the secret-safety filter; prompt content was not stored."
"P000070","2026-08-12T04:07:24Z","SESSION_START","session_start","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ff425-b68e-75e3-8e2f-f324c235a151/20260812T0407239624506Z-0875ebda83874d2d96b66b9236fbbf25.json",""
"P000071","2026-08-12T04:07:25Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ff425-b68e-75e3-8e2f-f324c235a151/20260812T0407253168331Z-4506f51c0d934b688528c8472543cd55.json",""
"P000072","2026-08-12T04:18:23Z","SESSION_START","session_start","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ff431-5142-7941-9e8b-1af795c5c437/20260812T0418235639196Z-b4b9245429ec4ebc852c514a2e9d271c.json",""
"P000073","2026-08-12T04:18:25Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ff431-5142-7941-9e8b-1af795c5c437/20260812T0418256101398Z-e7e8d2c4e6274588a88df9d5dfff3004.json",""
"P000074","2026-08-12T04:18:36Z","SESSION_START","session_start","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ff431-8541-7890-b6bf-20cdedc7a2e7/20260812T0418365197930Z-4eccb0d123a742dfbb7e9504317f11f2.json",""
"P000075","2026-08-12T04:18:38Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ff431-8541-7890-b6bf-20cdedc7a2e7/20260812T0418379387180Z-a516451a596d46e7a3a91d27c60f1d44.json",""
"P000076","2026-08-12T04:18:50Z","SESSION_START","session_start","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ff431-bb04-7162-b0df-2308bfb64ca6/20260812T0418501894958Z-8abdcafb0e8f4509b92674b13b2e39f8.json",""
"P000077","2026-08-12T04:18:51Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ff431-bb04-7162-b0df-2308bfb64ca6/20260812T0418517912724Z-088a0fed942344d3b2edd9a7b98af3ba.json",""
"P000078","2026-08-12T08:40:21Z","SESSION_START","session_start","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ff521-1ad8-7a92-8bc4-37c75fa34f51/20260812T0840208606296Z-6e6a7064d0ed45ce8487c7c057db8736.json",""
"P000079","2026-08-12T08:40:25Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ff521-1ad8-7a92-8bc4-37c75fa34f51/20260812T0840253746009Z-9752343f7a6c42f38f8631dfa2cda97e.json",""
"P000080","2026-08-12T08:41:06Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ff521-1ad8-7a92-8bc4-37c75fa34f51/20260812T0841061867097Z-cb1c376bf8e240458cfa07b979023047.json",""
"P000081","2026-08-12T08:51:36Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ff425-b68e-75e3-8e2f-f324c235a151/20260812T0851362811133Z-365c451e1761474a89ab4ba25ec7ba05.json",""
"P000082","2026-08-12T09:01:06Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ff425-b68e-75e3-8e2f-f324c235a151/20260812T0901066476888Z-3d9869ad4c13401695437cbeb792b403.json",""
"P000083","2026-08-12T09:03:33Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-sol","","","","evidence/private/codex/hook-events/019ff425-b68e-75e3-8e2f-f324c235a151/20260812T0903331728224Z-57b1328a9d124116ad8d5c257ff16d52.json",""
"P000084","2026-08-12T09:31:30Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-sol","","","","evidence/private/codex/hook-events/019ff425-b68e-75e3-8e2f-f324c235a151/20260812T0931305397527Z-4270c22e3f9d483e97058945b08f62e5.json",""
"P000085","2026-08-12T10:10:22Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-sol","","","","evidence/private/codex/hook-events/019ff425-b68e-75e3-8e2f-f324c235a151/20260812T1010221959659Z-bd9aca3852e148f4aa5be1bf689cd28e.json",""
"P000086","2026-08-14T02:39:43Z","SESSION_START","session_start","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T0239429061902Z-cf79aa448ae7479e9a9a1c1891db429b.json",""
"P000087","2026-08-14T02:39:46Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T0239459812773Z-1517996c9bf749f1823595ec949ecef0.json",""
"P000088","2026-08-14T03:11:19Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T0311191019301Z-bbb2f2864bac475f973d6be5754cd11b.json",""
"P000089","2026-08-14T03:23:44Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T0323439561240Z-1262c95eea594c419061d4aca3a3cdb3.json",""
"P000090","2026-08-14T03:25:35Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T0325356251489Z-4a1f2e0e4d414392bd305cec4afbc83a.json",""
"P000091","2026-08-14T03:31:28Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T0331278731191Z-278b4d2f242341249e99fd758c70853b.json",""
"P000092","2026-08-14T03:37:27Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T0337272760126Z-4670a99f14b44352a42c6286e768da6e.json",""
"P000093","2026-08-14T03:39:51Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T0339513170636Z-9877728c1d764ac7a7773d1ec84c111b.json",""
"P000094","2026-08-14T03:44:33Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T0344329738409Z-5965be0f8bc04b908afb00778bce96f6.json",""
"P000095","2026-08-14T03:46:57Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T0346571281758Z-296f96dca4d9407a89400c6a67290aaa.json",""
"P000096","2026-08-14T06:31:06Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T0631061308746Z-b6a1e9e50dd84ea088580affb5187d5f.json",""
"P000097","2026-08-14T07:38:45Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T0738458230963Z-dd1035c0acf7492c9ba7ddbe8d2bdbcd.json",""
"P000098","2026-08-14T08:00:34Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T0800344029373Z-ef798a6165c54369b5a677c8ef5e4322.json",""
"P000099","2026-08-14T08:16:20Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T0816198648573Z-3a68bd5d077d42949746ae619f2dad7c.json",""
"P000100","2026-08-14T08:26:53Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T0826530296097Z-b9c6a1be31924def905992dccb5382cb.json",""
"P000101","2026-08-14T08:41:35Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T0841347333415Z-c18c3e0988884f4b9626a57e85e66a1f.json",""
"P000102","2026-08-14T12:07:08Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T1207082321425Z-be7327878e9c4b4f9d9e84d9fe20290c.json",""
"P000103","2026-08-14T12:45:16Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T1245164124012Z-bcaabcebfbe948a9847bee7e621e5a04.json",""
"P000104","2026-08-14T13:48:44Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T1348439175877Z-c473e2d3f2874d8ebd68d2df4ee0d590.json",""
"P000105","2026-08-14T13:52:54Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T1352537467780Z-c46d6459e3154d4c9aab14e5dbcce901.json",""
"P000106","2026-08-14T13:53:48Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T1353481629826Z-c89450b864a645fd91f5d7300cd32dd9.json",""
"P000107","2026-08-14T13:59:59Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T1359592475838Z-edb617b62a8e4d0cab702f485f4cfb21.json",""
"P000108","2026-08-14T14:01:47Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T1401469099464Z-a958a467f9ed4c6296bb0edf64b8671c.json",""
"P000109","2026-08-14T14:10:33Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T1410326708462Z-ef22355ef57549418fe4996db0bcf370.json",""
"P000110","2026-08-14T14:17:59Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T1417594065247Z-93296d75608e49129e1a16bb2155c191.json",""
"P000111","2026-08-14T14:21:21Z","SESSION_START","session_start","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/01a000a5-d40b-7ef3-92e2-a1ed0bacd588/20260814T1421206161501Z-171c83fb1f724874a3660b04c4982deb.json",""
"P000112","2026-08-14T14:21:36Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/01a000a5-d40b-7ef3-92e2-a1ed0bacd588/20260814T1421361224169Z-73815c89ec8b4ed08725036ea4aa3ca2.json",""
"P000113","2026-08-14T14:21:59Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/01a000a5-d40b-7ef3-92e2-a1ed0bacd588/20260814T1421590923476Z-ed9309db597b41d397fad89911a8fefa.json",""
"P000114","2026-08-14T14:23:24Z","SESSION_START","session_start","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/01a000a6-f450-7762-90be-bf8a0af01dee/20260814T1423240372331Z-e4362913e90f49299afd892bb4ab3952.json",""
"P000115","2026-08-14T14:23:36Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/01a000a6-f450-7762-90be-bf8a0af01dee/20260814T1423366010076Z-e525fb0cf6e2488fba15ac887e9dbb4a.json",""
"P000116","2026-08-14T15:00:33Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T1500329542840Z-50efb060a5f84ef9a3fbb8a808c28d27.json",""
"P000117","2026-08-14T15:04:21Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T1504210573390Z-145dee24451645b2ba39a9040266a5cc.json",""
"P000118","2026-08-14T15:05:38Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T1505385829290Z-8b60b18517594cbf9b45052079015091.json",""
"P000119","2026-08-14T15:06:29Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T1506295805802Z-a6e507630dbd4dbb92c19fe574209f89.json",""
"P000120","2026-08-14T15:06:54Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T1506541364556Z-282f4e1b957d4c2a9d34ee5b9244fa78.json",""
"P000121","2026-08-14T15:52:57Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260814T1552570720264Z-987605eb415d49d883e61c424a322c2e.json",""
"P000122","2026-08-15T06:54:13Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260815T0654130863491Z-ef1aa7acc16c4b84bb7e4598d68509f1.json",""
"P000123","2026-08-15T11:02:06Z","PROMPT","captured","unavailable","codex","user","","gpt-5.6-terra","","","","evidence/private/codex/hook-events/019ffe22-a018-7912-acb4-c781a3d89729/20260815T1102065564986Z-0eba90460ad74ceca6d83c7a4d4cffad.json",""
