"problem_id","problem_summary","target_user","problem_strength_0_10","current_workflow_summary","BEST_NON_AI_SYSTEM","non_ai_strength_0_10","what_non_ai_handles_well","what_non_ai_cannot_reasonably_handle","BEST_MODEL_ENABLED_SYSTEM","model_type_needed","model_indispensable_capability","model_necessity_0_10","AI_classification","product_core_loop","product_loop_strength_0_10","30_second_demo","demo_strength_0_10","practical_value_0_10","evaluation_possible","implementation_risk","high_stakes_dependency","source_strength","reviewer_confidence","decision","decision_reason","algorithm_trap"
"P011","Operate under flood forecast","reservoir managers","6","combine gauges forecast rules","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","9","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","2","NON-AI-BETTER","reservoir managers -> gauges rain constraints -> none interpretation or deterministic decision -> risk-informed operation -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","H","HIGH","KILL","ALGORITHM_TRAP: classical systems directly solve the stated decision/workflow.","True"
"P012","Monitor landslide risk","exposed households","6","watch slope and rain","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","8","AI-STRONGLY-JUSTIFIED","exposed households -> rain imagery reports -> CV/audio/speech/HTR interpretation or deterministic decision -> early risk flag -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","NONE","H","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P013","Prioritize road safety treatments","local authorities","8","combine crash road traffic evidence","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","8","AI-NATIVE","local authorities -> reports imagery counts -> CV/audio/speech/HTR interpretation or deterministic decision -> prioritized locations -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","8","YES","MEDIUM","NONE","H","MEDIUM","BORDERLINE","A model can add meaningful semantic/perceptual interpretation, but non-AI baselines, safety constraints, product scope, or evaluation uncertainty remain material.","False"
"P014","Complete accessible urban trips","vulnerable riders","8","plan route and travel mixed traffic","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","9","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","5","AI-HELPFUL-BUT-NOT-NECESSARY","vulnerable riders -> route crowding needs -> none interpretation or deterministic decision -> dependable accessible trip -> human feedback/record","6","No convincing model-dependent demo; show the classical workflow instead.","6","8","YES","LOW","NONE","H","HIGH","BORDERLINE","A model can add meaningful semantic/perceptual interpretation, but non-AI baselines, safety constraints, product scope, or evaluation uncertainty remain material.","True"
"P015","Identify unsafe corridor conditions","pedestrians motorcyclists","8","navigate crossings and lanes","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","8","AI-STRONGLY-JUSTIFIED","pedestrians motorcyclists -> street video maps flows -> CV/audio/speech/HTR interpretation or deterministic decision -> condition report -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","8","YES","MEDIUM","NONE","H","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P016","Allocate road space","city planners","6","model competing mode demand","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","city planners -> maps GPS counts -> none interpretation or deterministic decision -> scenario intervention -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","H","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
"P017","Participate in ordinary lessons","disabled students teachers","8","adapt lesson and support learner","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","5","AI-HELPFUL-BUT-NOT-NECESSARY","disabled students teachers -> materials responses needs -> none interpretation or deterministic decision -> usable accommodation -> human feedback/record","6","No convincing model-dependent demo; show the classical workflow instead.","6","8","YES","LOW","HUMAN-IN-LOOP","H","HIGH","BORDERLINE","A model can add meaningful semantic/perceptual interpretation, but non-AI baselines, safety constraints, product scope, or evaluation uncertainty remain material.","False"
"P018","Access signed public information","deaf users","8","interpret speech text video","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","9","AI-NATIVE","deaf users -> audio video text signing -> CV/audio/speech/HTR interpretation or deterministic decision -> understandable visual equivalent -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","8","YES","MEDIUM","HUMAN-IN-LOOP","H","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P019","Use digital materials and services","visually impaired users","8","navigate scans sites apps","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","8","AI-STRONGLY-JUSTIFIED","visually impaired users -> pages scans screens -> none interpretation or deterministic decision -> navigable accessible version -> human feedback/record","8","No convincing model-dependent demo; show the classical workflow instead.","8","8","YES","LOW","HUMAN-IN-LOOP","H","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P020","Verify route and venue access","wheelchair users","8","check location before trip","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","8","AI-NATIVE","wheelchair users -> photos map reports -> CV/audio/speech/HTR interpretation or deterministic decision -> access condition route -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","8","YES","MEDIUM","HUMAN-IN-LOOP","H","MEDIUM","BORDERLINE","A model can add meaningful semantic/perceptual interpretation, but non-AI baselines, safety constraints, product scope, or evaluation uncertainty remain material.","False"
"P021","Access mainstream school environment","disabled secondary students","8","move learn communicate","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","4","AI-HELPFUL-BUT-NOT-NECESSARY","disabled secondary students -> documents audio layouts -> CV/audio/speech/HTR interpretation or deterministic decision -> accommodation plan -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","8","YES","MEDIUM","HUMAN-IN-LOOP","H","MEDIUM","KILL","The core action depends on interpreting variable unstructured input that fixed rules cannot cover reliably.","False"
"P022","Find accessible suitable work","disabled job seekers","8","read role communicate needs","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","4","AI-HELPFUL-BUT-NOT-NECESSARY","disabled job seekers -> job text needs photos -> CV/audio/speech/HTR interpretation or deterministic decision -> fit and accommodation facts -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","8","YES","MEDIUM","NONE","H","MEDIUM","KILL","The core action depends on interpreting variable unstructured input that fixed rules cannot cover reliably.","False"
"P023","Recognize and report task hazards","young workers","8","briefing work incident report","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","8","AI-STRONGLY-JUSTIFIED","young workers -> images task narrative -> CV/audio/speech/HTR interpretation or deterministic decision -> hazard prevention guidance -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","8","YES","MEDIUM","NONE","H","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P024","Consolidate occupational injuries","local officials","8","merge reports and classify","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","local officials -> notes forms job data -> none interpretation or deterministic decision -> standard record trend -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","8","YES","LOW","NONE","H","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
"P025","Connect work exposure to follow-up","informal workers clinicians","6","elicit job history and refer","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","5","AI-HELPFUL-BUT-NOT-NECESSARY","informal workers clinicians -> narrative task history -> none interpretation or deterministic decision -> review flag not diagnosis -> human feedback/record","6","No convincing model-dependent demo; show the classical workflow instead.","6","6","YES","LOW","NONE","H","HIGH","BORDERLINE","A model can add meaningful semantic/perceptual interpretation, but non-AI baselines, safety constraints, product scope, or evaluation uncertainty remain material.","False"
"P026","Document hazards and incidents","craft-village managers","8","inspect record patterns","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","4","AI-HELPFUL-BUT-NOT-NECESSARY","craft-village managers -> photos narratives tasks -> CV/audio/speech/HTR interpretation or deterministic decision -> comparable report -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","8","YES","MEDIUM","NONE","H","MEDIUM","KILL","The core action depends on interpreting variable unstructured input that fixed rules cannot cover reliably.","False"
"P027","Find viable work around care constraints","informal women workers","6","match skills time jobs","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","9","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","2","NON-AI-BETTER","informal women workers -> skills schedules jobs -> none interpretation or deterministic decision -> realistic pathway -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","HUMAN-IN-LOOP","H","HIGH","KILL","ALGORITHM_TRAP: classical systems directly solve the stated decision/workflow.","True"
"P028","Separate mixed waste","households managers","6","identify item and collection rule","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","8","AI-STRONGLY-JUSTIFIED","households managers -> item photos labels rules -> CV/audio/speech/HTR interpretation or deterministic decision -> correct sorting instruction -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","NONE","M","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P029","Plan safe efficient collection","informal collectors","6","collect transport load","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","9","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","2","NON-AI-BETTER","informal collectors -> route load records -> none interpretation or deterministic decision -> safer collection plan -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","M","HIGH","KILL","ALGORITHM_TRAP: classical systems directly solve the stated decision/workflow.","True"
"P030","Grade recyclable materials","scrap collectors","6","inspect sort price","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","8","AI-STRONGLY-JUSTIFIED","scrap collectors -> surface photos weights -> CV/audio/speech/HTR interpretation or deterministic decision -> grade record -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","NONE","M","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P031","Handle devices safely","informal recyclers","6","dismantle and dispose","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","informal recyclers -> device type process log -> none interpretation or deterministic decision -> hazard handling flag -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","M","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
"P032","Check catch compliance","crab fishers buyers","6","inspect size sex season","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","8","AI-NATIVE","crab fishers buyers -> photo measurement date -> CV/audio/speech/HTR interpretation or deterministic decision -> compliant record -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","NONE","M","MEDIUM","BORDERLINE","A model can add meaningful semantic/perceptual interpretation, but non-AI baselines, safety constraints, product scope, or evaluation uncertainty remain material.","False"
"P033","Prove seafood origin","fishers processors","6","link landing batches handoffs","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","4","AI-HELPFUL-BUT-NOT-NECESSARY","fishers processors -> logs batch photos -> CV/audio/speech/HTR interpretation or deterministic decision -> traceability trail -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","NONE","M","MEDIUM","KILL","The core action depends on interpreting variable unstructured input that fixed rules cannot cover reliably.","False"
